cota,area,volume
17,0.00,0.00
18,104049.00,20000.00
19,208098.00,85000.00
20,437859.00,299000.00
21,667620.00,722000.00
22,914124.50,1442000.00
23,1160629.00,2537000.00
24,1657749.00,4084000.00
25,2154869.00,6122000.00
26,2650610.50,8945000.00
27,3146352.00,11964000.00
28,3717510.00,15454000.00
29,4288668.00,19721000.00
30,4931510.50,23305000.00
31,5574353.00,28646000.00
32,6285896.00,34651000.00
33,6997439.00,41238000.00
34,7775214.50,48492000.00
35,8552990.00,56937000.00
36,9271156.25,65885000.00
37,10015815.50,75764000.00
